theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty,last_targets_date
aquatics,ARIK,539,10,temperature,1.795431214303878,10,0.11977256528538081,2022-12-31
aquatics,BARC,704,10,temperature,1.7940083951449464,5,0.01139841503060177,2022-12-31
aquatics,BIGC,636,10,temperature,1.7716232082120127,7,0.037372874914456504,2022-12-31
aquatics,BLDE,799,10,temperature,1.4055269694408432,8,1.9008500771757666e-8,2022-12-31
aquatics,BLUE,670,10,temperature,2.841599029469644,4,1.969008458265004e-4,2022-12-31
aquatics,BLWA,571,10,temperature,3.2316327534853397,7,1.4094426654622354e-4,2022-12-31
aquatics,CARI,313,10,temperature,1.0030939216062915,9,0.06091910893506503,2022-12-31
aquatics,COMO,533,10,temperature,1.5091244347316333,7,2.6628309731087867e-6,2022-12-31
aquatics,CRAM,403,10,temperature,2.5805968442355147,10,7.92290626021717e-6,2022-12-31
aquatics,CUPE,465,10,temperature,0.6138027547523841,10,1.0788724553852777e-6,2022-12-31
aquatics,FLNT,659,10,temperature,2.26231772973195,6,2.643934224583581e-8,2022-12-31
aquatics,GUIL,575,10,temperature,1.1282404677008366,8,1.4080718092261892e-9,2022-12-31
aquatics,HOPB,800,10,temperature,2.978841448767798,4,0.005510766523918771,2022-12-31
aquatics,KING,389,10,temperature,0.9807427709845924,10,0.6288532443939125,2022-12-31
aquatics,LECO,749,10,temperature,1.8277419743896444,5,4.689966409623691e-6,2022-12-31
aquatics,LEWI,828,10,temperature,1.5621597923846398,3,1.4707317191311782e-7,2022-12-31
aquatics,LIRO,407,10,temperature,2.49297213688529,10,0.585011839724205,2022-12-31
aquatics,MART,754,10,temperature,1.5903058448032008,5,4.827124026625688e-10,2022-12-31
aquatics,MAYF,498,10,temperature,1.9013575496827704,7,1.6300285991429893e-4,2022-12-31
aquatics,MCDI,814,10,temperature,3.7588110016864547,3,2.5496326554831608e-8,2022-12-31
aquatics,MCRA,474,10,temperature,1.6793746045998679,8,3.444971934550786e-8,2022-12-31
aquatics,OKSR,170,10,temperature,1.8018677111616004,5,0.0018726602577206898,2022-12-31
aquatics,POSE,761,10,temperature,3.0077314483222057,4,2.221824074135919e-7,2022-12-31
aquatics,PRIN,782,10,temperature,3.115684593663525,6,4.6602762689173137e-7,2022-12-31
aquatics,PRLA,351,10,temperature,2.0744325429677115,8,5.696591063947473e-10,2022-12-31
aquatics,PRPO,408,10,temperature,2.1517871970537965,7,0.1172203525139086,2022-12-31
aquatics,REDB,636,10,temperature,1.199541537003631,9,1.4191783218175687e-8,2022-12-31
aquatics,SUGG,801,10,temperature,1.8318368283407191,4,3.8030239162429275e-5,2022-12-31
aquatics,SYCA,440,10,temperature,3.4441101938046086,10,5.844820846312797e-9,2022-12-31
aquatics,TECR,801,10,temperature,1.4103088961246633,6,0.008855189766853299,2022-12-31
aquatics,TOMB,473,10,temperature,2.714654056652726,9,1.932584039594148e-4,2022-12-31
aquatics,TOOK,156,10,temperature,1.8411360141583526,5,0.0020239873768754676,2022-12-31
aquatics,WALK,799,10,temperature,1.1837595782540105,4,2.248707675941066e-8,2022-12-31
aquatics,WLOU,697,10,temperature,1.1577886467261078,8,8.083885111340739e-10,2022-12-31
aquatics,ARIK,547,10,oxygen,1.5476558294350833,5,4.6201067082618605e-6,2022-12-31
aquatics,BARC,623,10,oxygen,0.656928202783169,6,2.3918740729081057e-9,2022-12-31
aquatics,BIGC,794,10,oxygen,0.5968773731927104,4,7.024931581788805e-5,2022-12-31
aquatics,BLDE,584,10,oxygen,0.4787581381593901,7,1.650794600003395e-8,2022-12-31
aquatics,BLUE,505,10,oxygen,0.7194591989198543,9,4.3973950646024226e-4,2022-12-31
aquatics,BLWA,332,10,oxygen,1.1470880327794206,10,0.0016226223595713315,2022-12-31
aquatics,CARI,382,10,oxygen,0.5725760405465302,10,1.0765627937616438e-9,2022-12-31
aquatics,COMO,699,10,oxygen,0.7335808422521012,2,0.06251159251017879,2022-12-31
aquatics,CRAM,309,10,oxygen,0.7477312863405539,1,2.5689435918018064e-6,2022-12-31
aquatics,CUPE,783,10,oxygen,0.43190182985041886,5,1.7012084191134807e-10,2022-12-31
aquatics,FLNT,635,10,oxygen,0.6282300230157937,6,0.4013333163845339,2022-12-31
aquatics,GUIL,665,10,oxygen,0.35603940433278963,5,9.607494165647343e-6,2022-12-31
aquatics,HOPB,828,10,oxygen,0.6551538787968576,4,3.738293049239686e-4,2022-12-31
aquatics,KING,522,10,oxygen,1.4262951732055427,10,0.13392093771617058,2022-12-31
aquatics,LECO,713,10,oxygen,0.5038338632656276,5,1.0753008231698704e-6,2022-12-31
