theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty
aquatics,ARIK,676,10,temperature,2.057835528562287,6,0.003902685908881965
aquatics,BARC,888,10,temperature,1.8858700799837,4,1.4001637130522972e-6
aquatics,BIGC,612,10,temperature,2.23254771620329,6,1.836804607214593e-7
aquatics,BLDE,899,10,temperature,1.4745805984596512,7,0.014834801164565556
aquatics,BLUE,760,10,temperature,2.6609328958315426,3,2.392642609117841e-10
aquatics,BLWA,593,10,temperature,3.209493152421608,7,1.1115527156722887e-5
aquatics,CARI,313,10,temperature,1.0447622831452408,7,0.49625451568781365
aquatics,COMO,712,10,temperature,1.705153079630789,4,5.546986929290182e-10
aquatics,CRAM,403,10,temperature,2.68770341038009,10,0.041427642425048844
aquatics,CUPE,760,10,temperature,1.4053933712057287,5,4.787690726079642e-5
aquatics,FLNT,747,10,temperature,2.5353990015080106,5,4.297162122948917e-4
aquatics,GUIL,668,10,temperature,1.0453582411732671,6,0.617465616676322
aquatics,HOPB,927,10,temperature,3.2518741672529856,3,1.0665025876081488e-7
aquatics,KING,636,10,temperature,2.891455649544045,5,0.0663705909801587
aquatics,LECO,918,10,temperature,2.0506011326221696,3,8.120706669332447e-5
aquatics,LEWI,934,10,temperature,1.8957494101316983,3,4.093356707892594e-5
aquatics,LIRO,407,10,temperature,2.4957159297791804,10,4.0854074032633213e-4
aquatics,MART,875,10,temperature,2.8204923002327718,4,1.378683655951642e-9
aquatics,MAYF,714,10,temperature,5.305801619132723,6,8.372307387938176e-4
aquatics,MCDI,919,10,temperature,3.4547086519409165,3,2.0597489227635656e-6
aquatics,MCRA,516,10,temperature,1.6274706274352955,8,0.0017768105735759094
aquatics,OKSR,171,10,temperature,1.8075627627392674,5,2.2211353058510408e-4
aquatics,POSE,867,10,temperature,3.0580369299545205,3,3.699150774894294e-5
aquatics,PRIN,918,10,temperature,3.302065214795505,4,2.3971268022704e-4
aquatics,PRLA,352,10,temperature,2.030292395925019,7,2.1335726739493976e-9
aquatics,PRPO,408,10,temperature,2.113278671606124,7,2.6959732528842876e-5
aquatics,REDB,736,10,temperature,1.2485827284089566,8,3.0140824686207066e-9
aquatics,SUGG,904,10,temperature,2.3107722199945515,4,1.3989867344979501e-6
aquatics,SYCA,449,10,temperature,2.5896519205483823,7,6.748014560724412e-7
aquatics,TECR,861,10,temperature,1.3018386381248928,5,0.001549839188636693
aquatics,TOMB,550,10,temperature,3.1121277934548774,7,1.1339385987163055e-4
aquatics,TOOK,156,10,temperature,1.8357898157982415,5,7.039493488107731e-4
aquatics,WALK,905,10,temperature,1.1863958091666886,3,4.5055369859991917e-7
aquatics,WLOU,824,10,temperature,1.2385226682876194,5,1.8081617496031236e-6
aquatics,ARIK,676,10,oxygen,1.6050122733806493,2,0.0014981483673813067
aquatics,BARC,726,10,oxygen,0.7139960602815008,5,1.068535875448628e-10
aquatics,BIGC,828,10,oxygen,0.5961853261608608,4,0.38125348880205584
aquatics,BLDE,700,10,oxygen,0.45290909086874054,4,0.11651158828369311
aquatics,BLUE,596,10,oxygen,0.7139935176121466,7,1.9209428629388557e-8
aquatics,BLWA,437,10,oxygen,1.0687999840399574,9,2.9100964827799528e-8
aquatics,CARI,472,10,oxygen,0.5162599903777566,10,5.976371215254697e-5
aquatics,COMO,851,10,oxygen,0.9198382232112821,3,0.0031307404108545417
aquatics,CRAM,309,10,oxygen,0.716469704125119,1,1.7291136280474717e-6
aquatics,CUPE,889,10,oxygen,0.3301290308882945,4,0.027378560194375057
aquatics,FLNT,724,10,oxygen,0.7140261738927253,5,4.0705494525500655e-8
aquatics,GUIL,771,10,oxygen,0.5076467990740822,3,0.400836639365221
aquatics,HOPB,933,10,oxygen,0.6515037438004542,3,2.3322816149026773e-4
aquatics,KING,545,10,oxygen,1.449348370047248,8,1.7274603649720963e-5
aquatics,LECO,815,10,oxygen,0.46123898717199746,4,2.979058099405681e-6
aquatics,LEWI,930,10,oxygen,0.5851598004443556,4,0.001461812507987434
aquatics,LIRO,292,10,oxygen,0.8448027174969115,1,4.548986010714858e-9
aquatics,MART,917,10,oxygen,0.5699277714420161,3,1.3238486082201317e-6
aquatics,MAYF,907,10,oxygen,0.4877039609909404,4,0.754926746634927
aquatics,MCDI,919,10,oxygen,1.6947684180388398,3,2.9863930672797236e-5
aquatics,MCRA,616,10,oxygen,0.7468246746867113,7,1.2057668730604925e-8
aquatics,OKSR,159,10,oxygen,0.4643292392149191,5,8.956561785302423e-8
aquatics,POSE,933,10,oxygen,0.6570313271522995,3,0.026315643182095904
aquatics,PRIN,897,10,oxygen,1.585230961633909,4,4.450266196744582e-5
aquatics,PRLA,91,10,oxygen,1.0984841959289688,10,2.7885337108438684e-9
aquatics,PRPO,210,10,oxygen,0.8924296656537595,3,0.2141923798990525
aquatics,REDB,654,10,oxygen,0.525952187725191,7,0.8033171966222266
aquatics,SUGG,760,10,oxygen,0.8273331669857066,5,0.028623371189482053
aquatics,SYCA,536,10,oxygen,1.8040431986497243,8,3.884445926218285e-8
aquatics,TECR,885,10,oxygen,0.6163731856435096,3,0.0028794792308059047
aquatics,TOMB,386,10,oxygen,1.3892281047760728,10,2.608827639164998e-7
aquatics,TOOK,134,10,oxygen,0.48286440492665783,6,7.730941770144209e-9
aquatics,WALK,821,10,oxygen,0.4136808589047935,4,0.0041546198240802615
aquatics,WLOU,843,10,oxygen,0.39936602203842264,3,6.60582193068619e-7
aquatics,BARC,724,10,chla,5.823782825052128,4,2.052064503921896e-4
aquatics,BLWA,431,10,chla,9.055654943947848,7,0.8360112273380669
aquatics,CRAM,336,10,chla,1.1474087814371392,6,1.204701566292506e-7
aquatics,FLNT,741,10,chla,0.8904454198750817,6,2.4720981116645155e-9
aquatics,LIRO,315,10,chla,8.186742171500901,4,4.468821264986476e-6
aquatics,PRLA,91,10,chla,4.5642429807932245,7,1.21329150327083e-6
aquatics,PRPO,209,10,chla,25.335228119986382,1,2.201842794819614e-9
aquatics,SUGG,681,10,chla,6.24901650773127,7,0.682230757622364
aquatics,TOMB,394,10,chla,13.000068236369202,9,4.3640166035715645e-6
aquatics,TOOK,134,10,chla,0.6213997080645862,9,4.422583644186696e-7
phenology,ABBY,927,10,gcc_90,0.01824789498584461,3,0.0036977114391288338
phenology,BARR,514,10,gcc_90,0.031567936144825545,8,8.869966323941892e-5
phenology,BART,928,10,gcc_90,0.031416256383943165,3,0.006697519918795032
