theme,n_obs,n_vfolds,target_variable,rmse,penalty,hidden_units,epochs,last_targets_date
aquatics,19855,10,temperature,4.663747776237725,9.840016341183404e-8,3,5,2022-12-31
aquatics,19640,10,oxygen,1.3802705117872236,7.117287669808869e-7,4,5,2022-12-31
aquatics,3797,10,chla,10.0014240067259,1.027418986462639e-8,4,5,2022-12-31
beetles,877,10,abundance,0.4497013324585485,1.0252238413412332e-10,4,5,2022-12-31
beetles,877,10,richness,5.450132085292711,3.5306551818698065e-9,4,5,2022-12-31
phenology,36741,10,gcc_90,0.03250750728544202,0.0013538420676948212,1,5,2022-12-31
phenology,36741,10,rcc_90,0.043320396858099006,5.298219762060958e-4,1,5,2022-12-31
terrestrial_daily,25648,10,nee,2.0833516118547983,0.538204018887192,7,5,2022-12-31
terrestrial_daily,25648,10,le,28.05723799863698,0.9572013321375288,10,5,2022-12-31
ticks,145,10,amblyomma_americanum,151.09093613396666,0.2026063049128809,4,5,2022-12-31
