theme,site,n_obs,target_variable,rmse,lambda,last_targets_date
aquatics,ARIK,570,temperature,1.715639079430937,0.077426368,12/31/2022
aquatics,BARC,784,temperature,1.7882911250890619,1e-10,12/31/2022
aquatics,BIGC,608,temperature,1.9599557016716258,0.097700996,12/31/2022
aquatics,BLDE,799,temperature,1.9786483801989665,0.019179102616724848,12/31/2022
aquatics,BLUE,670,temperature,2.5420785998448006,0.024201282647943835,12/31/2022
aquatics,BLWA,515,temperature,3.024552680106713,0.009545485,12/31/2022
aquatics,CARI,313,temperature,0.9637366988265579,0.012045035402587835,12/31/2022
aquatics,COMO,647,temperature,1.8135553254226366,1e-10,12/31/2022
aquatics,CRAM,403,temperature,2.6153501508270907,0.038535285937105354,12/31/2022
aquatics,CUPE,654,temperature,1.1624291267416849,1e-10,12/31/2022
aquatics,FLNT,659,temperature,2.1150724425193985,0.019179102616724848,12/31/2022
aquatics,GUIL,575,temperature,0.8684408256143866,0.00475081,12/31/2022
aquatics,HOPB,826,temperature,2.666468847890882,0.030538555088334123,12/31/2022
aquatics,KING,518,temperature,1.7339736074622802,0.024201282647943835,12/31/2022
aquatics,LECO,812,temperature,1.5659524147328565,1e-10,12/31/2022
aquatics,LEWI,828,temperature,0.9731138158864966,1e-10,12/31/2022
aquatics,LIRO,407,temperature,2.5658449155396528,0.038535285937105354,12/31/2022
aquatics,MART,802,temperature,2.3522867616828624,1e-10,12/31/2022
aquatics,MAYF,610,temperature,5.498377116025313,0.009545485,12/31/2022
aquatics,MCDI,814,temperature,2.8503862473986286,1e-10,12/31/2022
aquatics,MCRA,487,temperature,1.4814594380914197,0.009545485,12/31/2022
aquatics,OKSR,170,temperature,1.644767637175538,0.061359073,12/31/2022
aquatics,POSE,761,temperature,1.7205289261217949,0.015199111,12/31/2022
aquatics,PRIN,812,temperature,1.696841329859092,0.024201282647943835,12/31/2022
aquatics,PRLA,352,temperature,2.0275445163935277,1e-10,12/31/2022
aquatics,PRPO,408,temperature,2.0656709544198537,1e-10,12/31/2022
aquatics,REDB,636,temperature,0.9888770318404125,1e-10,12/31/2022
aquatics,SUGG,798,temperature,1.6600484360985333,0.009545485,12/31/2022
aquatics,SYCA,405,temperature,2.2833438807964965,0.077426368,12/31/2022
aquatics,TECR,802,temperature,1.1846705256960004,0.005994843,12/31/2022
aquatics,TOMB,470,temperature,2.770172480088646,0.030538555088334123,12/31/2022
aquatics,TOOK,156,temperature,1.8239602745136851,0.019179102616724848,12/31/2022
aquatics,WALK,799,temperature,0.8064181445964057,0.012045035402587835,12/31/2022
aquatics,WLOU,720,temperature,1.416239340386643,0.019179102616724848,12/31/2022
aquatics,ARIK,570,oxygen,1.7610802069156464,0.015199111,12/31/2022
aquatics,BARC,623,oxygen,0.639484254,0.012045035402587835,12/31/2022
aquatics,BIGC,794,oxygen,0.5443996497147502,1e-10,12/31/2022
aquatics,BLDE,594,oxygen,0.5010343534599035,0.00475081,12/31/2022
aquatics,BLUE,506,oxygen,0.6542092717072733,0.00475081,12/31/2022
aquatics,BLWA,331,oxygen,1.106874033,0.024201282647943835,12/31/2022
aquatics,CARI,382,oxygen,0.5313484809492226,0.012045035402587835,12/31/2022
aquatics,COMO,786,oxygen,0.8749424498110334,0.019179102616724848,12/31/2022
aquatics,CRAM,309,oxygen,0.613322894,0.002364489,12/31/2022
aquatics,CUPE,783,oxygen,0.1870069854650471,0.002983647,12/31/2022
aquatics,FLNT,618,oxygen,0.5671572007704146,0.012045035402587835,12/31/2022
aquatics,GUIL,723,oxygen,0.4730958737391868,0.007564633,12/31/2022
aquatics,HOPB,828,oxygen,0.5615842142489257,0.009545485,12/31/2022
aquatics,KING,532,oxygen,1.3976940169550387,1e-10,12/31/2022
aquatics,LECO,713,oxygen,0.3606865662974696,7.390722033525775e-4,12/31/2022
aquatics,LEWI,824,oxygen,0.4440346338854551,1e-10,12/31/2022
aquatics,LIRO,292,oxygen,0.724786999,0.001176812,12/31/2022
aquatics,MART,812,oxygen,0.5434945776346493,7.390722033525775e-4,12/31/2022
aquatics,MAYF,803,oxygen,0.353657261,0.002983647,12/31/2022
aquatics,MCDI,813,oxygen,1.730659414381289,0.009545485,12/31/2022
aquatics,MCRA,542,oxygen,0.6225198239077999,0.009545485,12/31/2022
