theme,n_obs,target_variable,rmse,lambda
aquatics,23401,temperature,2.694565213466369,1e-10
aquatics,22703,oxygen,1.0311124343353149,1e-10
aquatics,4153,chla,9.157258852381593,0.0029836472402833404
beetles,1093,abundance,0.33500730874352547,0.0029836472402833404
beetles,1093,richness,4.779258798635275,3.678379771828634e-4
phenology,42119,gcc_90,0.018911532826602327,1e-10
phenology,42119,rcc_90,0.030661823784830993,1e-10
terrestrial_daily,28604,nee,1.9651841821119,1.1497569953977356e-4
terrestrial_daily,28604,le,24.276012892683507,1e-10
ticks,144,amblyomma_americanum,109.57801781104277,0.31257158496882353
