theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,last_targets_date,importance_surface_downwelling_shortwave_flux_in_air,importance_air_temperature,importance_relative_humidity,importance_surface_downwelling_longwave_flux_in_air,importance_northward_wind,importance_eastward_wind,importance_air_pressure,importance_precipitation_flux
aquatics,ARIK,570,10,temperature,0.6280771932480312,4,7,12/31/2022,16098.447222569821,9931.649224783263,5253.036290375834,426.9926904107481,417.5048705515607,358.41501566994793,227.75361905374504,141.9582282891663
aquatics,BARC,784,10,temperature,0.7056511572404693,6,7,12/31/2022,3613.517135957716,14373.857882723698,1357.2898188135555,222.5872117739832,185.5665764,439.2656795,955.8757864248136,354.3321330948391
aquatics,BIGC,608,10,temperature,0.7100724606651632,7,3,12/31/2022,635.1190487397051,10566.9031,2609.339813240246,644.2859293901763,112.72040631825364,346.5672510280403,250.88779994615996,289.4937155423898
aquatics,BLDE,799,10,temperature,0.40771755059666465,4,4,12/31/2022,3904.4405095570733,13284.815080779257,1096.2457130611097,126.24703846400494,160.8732714,3088.821730048861,166.02500429419842,416.48642341978126
aquatics,BLUE,670,10,temperature,0.9224568764093654,5,4,12/31/2022,4023.5610809008126,8713.50646,2617.8571112887053,575.6909700230964,384.7802711548735,679.0229586272189,468.92823350514476,545.5562407849922
aquatics,BLWA,515,10,temperature,1.0940100335204657,4,4,12/31/2022,4023.7729398994725,9960.821230811845,3881.2302927398673,485.69193879883966,356.52939981632596,1036.495973527631,1227.9926285588708,1127.7985759370556
aquatics,CARI,313,10,temperature,0.3803173703562887,4,5,12/31/2022,314.3170305055728,492.31020779972397,89.14521012802444,51.107015012698206,26.546851587415613,52.954735770541305,43.406434827698384,35.87493602964993
aquatics,COMO,647,10,temperature,0.4752982823413446,4,5,12/31/2022,2801.490121540799,5058.948978526602,322.8990531061776,110.19651774068674,108.78896501585997,267.9625537984267,79.62447260759738,1255.9535868576422
aquatics,CRAM,403,10,temperature,0.9953122404891952,6,3,12/31/2022,1882.6430436365595,8505.564484153272,869.8111442621575,397.0000170095654,249.22389174359526,239.54133686824966,932.6110201661992,393.2486580004321
aquatics,CUPE,654,10,temperature,0.45827279359535605,4,5,12/31/2022,166.98489100505728,234.12502800266412,143.02755386253608,105.57385258411935,93.70483496125627,107.8371621781064,95.12070364302939,144.7277601621798
