model_id,datetime,reference_datetime,site_id,family,parameter,variable,prediction
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,1,temperature,21.386929797434668
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,2,temperature,20.367407928293698
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,3,temperature,22.088916149359978
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,4,temperature,20.496344094631876
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,5,temperature,21.249278284565666
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,6,temperature,20.191304838277727
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,7,temperature,20.49925346941826
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,8,temperature,21.187367182945685
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,9,temperature,20.4102190210485
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,10,temperature,19.700338139600902
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,11,temperature,20.97387057122664
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,12,temperature,20.882980911889117
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,13,temperature,21.820934254131938
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,14,temperature,20.47487397580305
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,15,temperature,20.217611241818176
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,16,temperature,21.13370848997656
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,17,temperature,21.015570579105706
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,18,temperature,20.228578037518968
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,19,temperature,20.80771361835745
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,20,temperature,20.560616716386214
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,21,temperature,21.64651011716289
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,22,temperature,20.34732311790818
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,23,temperature,20.126938183872728
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,24,temperature,21.433675161503217
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,25,temperature,18.76199658707574
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,26,temperature,19.968090723211837
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,27,temperature,21.499370267868233
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,28,temperature,19.405965307167907
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,29,temperature,21.044761311173467
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,30,temperature,22.351961841939154
tg_randfor_ens_rnnresids,2023-06-23,2023-06-23,ARIK,ensemble,31,temperature,20.99467089931444
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,1,temperature,20.27476824544961
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,2,temperature,18.037224440155093
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,3,temperature,20.87270413570695
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,4,temperature,20.92700347307938
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,5,temperature,19.59281705589559
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,6,temperature,21.531811034949563
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,7,temperature,21.01449168904895
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,8,temperature,19.095167329052178
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,9,temperature,18.587901602103752
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,10,temperature,21.21431387137302
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,11,temperature,21.61342231842044
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,12,temperature,21.389534153322973
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,13,temperature,20.925187577632453
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,14,temperature,21.05337276250869
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,15,temperature,19.66284111332907
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,16,temperature,15.967559453555634
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,17,temperature,21.428234409976714
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,18,temperature,20.931552014068252
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,19,temperature,18.064577802759985
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,20,temperature,18.141186240650914
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,21,temperature,20.940141968960816
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,22,temperature,21.113965440478943
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,23,temperature,20.23539136355971
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,24,temperature,19.980352784908074
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,25,temperature,22.255111666901545
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,26,temperature,18.277241853120913
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,27,temperature,21.389615272822887
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,28,temperature,20.47698197052975
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,29,temperature,22.22048251839555
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,30,temperature,20.988379258175232
tg_randfor_ens_rnnresids,2023-06-24,2023-06-23,ARIK,ensemble,31,temperature,19.278183895131466
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,1,temperature,19.458328072656098
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,2,temperature,20.3536513261227
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,3,temperature,18.390802717731667
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,4,temperature,18.718575291831105
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,5,temperature,20.29741998963273
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,6,temperature,19.5344350305979
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,7,temperature,19.95492897231713
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,8,temperature,17.4270542645301
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,9,temperature,20.708522712697267
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,10,temperature,19.77757124686998
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,11,temperature,21.363965361958172
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,12,temperature,21.169175341417024
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,13,temperature,19.09389859527107
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,14,temperature,20.57938688821608
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,15,temperature,19.20748391115162
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,16,temperature,20.90497806000672
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,17,temperature,20.56595683700839
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,18,temperature,19.461413932309934
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,19,temperature,16.714860232395456
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,20,temperature,18.996141058572587
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,21,temperature,20.46185912493276
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,22,temperature,21.297336473510708
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,23,temperature,19.246736003495442
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,24,temperature,19.937248168637254
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,25,temperature,20.866701120774227
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,26,temperature,19.167964673922345
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,27,temperature,21.56317427386387
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,28,temperature,19.588976813430317
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,29,temperature,20.9264944134291
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,30,temperature,20.10889369080767
tg_randfor_ens_rnnresids,2023-06-25,2023-06-23,ARIK,ensemble,31,temperature,18.402723528981934
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,1,temperature,20.19082134732904
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,2,temperature,21.757027457089166
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,3,temperature,18.51477415441319
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,4,temperature,19.913395827864534
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,5,temperature,20.113069721824385
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,6,temperature,21.030068569497487
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,7,temperature,21.1371824144189
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,8,temperature,19.71254671006253
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,9,temperature,21.457227669646272
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,10,temperature,19.9106404995382
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,11,temperature,20.28406202022238
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,12,temperature,21.456016092818743
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,13,temperature,18.953068625112458
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,14,temperature,20.489118310683182
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,15,temperature,20.7928920320104
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,16,temperature,20.42719913359905
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,17,temperature,20.851926438634486
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,18,temperature,20.515440361049997
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,19,temperature,19.279330681440513
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,20,temperature,20.47865209478142
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,21,temperature,20.56737001940628
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,22,temperature,20.413818313036376
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,23,temperature,20.761076279639205
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,24,temperature,20.828317280473865
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,25,temperature,20.916268727344907
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,26,temperature,20.676926420659104
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,27,temperature,21.354489055291406
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,28,temperature,20.767267011724496
tg_randfor_ens_rnnresids,2023-06-26,2023-06-23,ARIK,ensemble,29,temperature,20.995206926907155
