theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,importance_surface_downwelling_longwave_flux_in_air,importance_air_temperature,importance_surface_downwelling_shortwave_flux_in_air,importance_northward_wind,importance_precipitation_flux,importance_relative_humidity,importance_eastward_wind,importance_air_pressure
aquatics,ARIK,738,10,temperature,0.5477625412506818,3,5,16013.106448840137,14746.191859706572,7480.566082178357,1319.2676270734514,942.9273658416381,763.1571957171694,618.4958030749867,265.14057503125366
aquatics,BARC,950,10,temperature,0.6521587812480671,6,6,3648.3363407449137,16436.931997738226,1916.9633031890378,292.895577896359,200.28016875736608,408.12653161714786,1245.069456708168,524.7961363582376
aquatics,BIGC,612,10,temperature,0.8137879109975916,3,5,2419.1223232416046,5998.886228895522,3979.6231677194046,1001.6767871421313,239.1580155988211,1365.099047950376,314.37767251105146,419.1070175671256
aquatics,BLDE,956,10,temperature,0.6485964338965002,4,9,3466.5377474689767,13589.504075845483,919.4452939127714,254.53811192783283,262.80491362330287,4703.034944938813,228.83367283502076,753.6240400959148
aquatics,BLUE,790,10,temperature,0.9734950373022729,4,6,4589.569143232411,8115.656788242937,3269.338762413404,588.3326077095688,505.77118626273386,742.0340738357444,485.4773661167967,928.1811850372567
aquatics,BLWA,654,10,temperature,0.9866548986497546,5,2,3653.63526438855,14691.93643998677,5114.8103100415765,715.7856285975575,363.5432747416658,1567.5876156401257,1932.3066509625808,908.3886376161017
aquatics,CARI,340,10,temperature,0.4382105339274653,3,7,313.83550330837596,446.8969732530114,104.66715129035718,55.87122950883073,38.027770404368184,62.329396884796516,55.863972437996246,39.87674176409907
aquatics,COMO,815,10,temperature,0.44145162602935467,4,4,2898.739045869735,6067.867289380381,311.2882551830271,129.05114621057783,124.38601175805145,440.3707637972241,97.14100614882507,1287.7877935467957
aquatics,CRAM,445,10,temperature,1.1312781333419868,5,4,2095.510359817848,8647.749323369415,1267.7322400317369,563.7914578075615,300.4945339937956,381.53810534487036,1090.9875212670902,484.35292915966073
aquatics,CUPE,822,10,temperature,0.4873252098646005,4,6,222.5899355153918,406.60628553325495,161.21238306828448,151.28989623554833,113.98734346598127,118.02746646327662,191.79836367867904,149.71482593143577
aquatics,FLNT,808,10,temperature,0.7611245233612002,5,5,4728.65176237694,15819.644900746374,3495.163802704426,464.87896754706395,262.06464199521065,681.1688506981974,1476.2284485994799,649.4703936559991
aquatics,GUIL,730,10,temperature,0.2969030043736013,4,4,265.78523875001616,639.6786719428316,565.5981338081726,74.49062644170823,60.64523996339241,61.588356166962434,105.29353507997158,69.39085343185995
aquatics,HOPB,989,10,temperature,1.3899816363615014,4,15,9764.251339049664,26947.12100076977,3818.4846770830814,563.2296890799646,543.3076988734072,611.2497887932687,797.1058293315444,422.21976653895376
aquatics,KING,582,10,temperature,0.6963770945207809,4,7,4859.139737331216,9657.408878623039,1534.3076139078896,205.77680983943412,260.96681961345524,223.9796843625473,214.45867581002565,369.51466337180784
aquatics,LECO,980,10,temperature,0.5092721933884897,5,3,3258.5947464685487,12167.6839941091,1291.2796849965264,233.3097477004659,230.72971826438084,276.23191723529163,517.4336019833676,226.98693273030852
aquatics,LEWI,996,10,temperature,0.3750461750462125,4,5,5342.708213575258,12550.926767521882,1824.0342740607305,145.1874357089262,292.68187371132325,180.00008254292962,208.42447847609873,186.2531792251073
aquatics,LIRO,443,10,temperature,1.0858645840824108,6,5,1364.6909508902336,8209.989171636405,839.1392221832917,423.77486463278,286.0284038771964,283.2736628975142,995.0175400120012,489.28515603492
aquatics,MART,928,10,temperature,1.2112290215102093,6,7,935.4072414437327,8843.581326420652,1818.9695731880245,1045.2466498576966,604.3473612058168,1214.5058209589633,701.6642760808905,852.5639448201986
aquatics,MAYF,776,10,temperature,2.010560979775439,4,5,6924.576229792271,10284.453705430407,6334.378442876185,1509.3523956103115,2108.717478956507,3421.293133147213,2043.428734941809,2043.5571768921307
aquatics,MCDI,981,10,temperature,1.0732346150796443,5,6,13313.995919173387,32191.60118872696,5395.8313556055255,912.7805934557412,462.8751106098889,1070.0411578608123,1672.3184306857484,1103.4971642430885
aquatics,MCRA,533,10,temperature,0.5798926359930615,8,5,150.88232245128404,6206.635760319096,236.4562430780478,199.6703541870643,84.19308891683085,118.0784962043587,154.5234258574291,168.48771668154575
aquatics,OKSR,175,10,temperature,0.5615345220037604,6,2,321.4984512766795,1635.7592482121013,168.48695297694783,48.9671864789232,44.49262572139635,91.55722852956237,65.17515783691162,81.76673151027497
aquatics,POSE,929,10,temperature,0.6492092162800442,6,5,6519.640464269648,30076.84498930725,969.5519262340748,403.8988447436889,195.7139133291201,299.3629666494586,601.5677095776986,260.715423273554
aquatics,PRIN,974,10,temperature,0.677385033346369,7,6,8056.437903787386,43827.154248167026,2098.8139298840947,450.0697364606568,372.7777630744506,433.94671596181274,1069.9513067234195,244.13623368852973
aquatics,PRLA,387,10,temperature,0.8705339755097258,6,3,2483.6819572522613,8820.864717882823,1081.4368914585364,175.8863945453343,137.23668750729075,346.32662704374303,355.5292967998003,539.4293172056852
aquatics,PRPO,443,10,temperature,1.099934904805376,5,9,3901.9151855856,11220.561167103102,1381.3841129677257,189.68807212931907,208.94830443111948,367.0143468904604,334.94094534985857,537.0982967498795
aquatics,REDB,789,10,temperature,0.3088036321287915,5,4,3057.656791927719,10734.921355460776,1135.3801992672682,104.07061494939401,56.00480025837118,477.5660147307302,176.08309225957126,103.17360325228684
aquatics,SUGG,965,10,temperature,0.6988097447358562,5,8,4663.832122260145,16198.68250659721,2603.6195737373987,253.13604638492026,320.5005951576983,404.29204066185497,810.3193178331626,376.0678996565479
aquatics,SYCA,495,10,temperature,1.335255269634348,3,14,3135.193240462057,4615.147268809857,1468.960708348657,306.8307669202163,277.1058953275336,523.5686081933704,309.9329180666525,565.20051565494
aquatics,TECR,861,10,temperature,0.3101112803261004,5,2,2526.409598290498,13967.553477291216,4643.072033037379,454.7017869100667,120.87075818664712,673.4004291055959,220.51796944508212,175.77175398039583
aquatics,TOMB,580,10,temperature,0.9934555431138916,7,4,2004.709974738646,13366.266317106543,898.6668113310736,547.3031654669237,311.49198074517903,813.3445409248836,2173.921332665984,706.2402396807286
aquatics,TOOK,156,10,temperature,0.6843936483191866,5,6,177.52383377949403,436.5145502794266,153.54253250783518,45.84408852240698,71.2264104774412,55.793997419445255,171.31815637311695,70.96813705756902
aquatics,WALK,958,10,temperature,0.3059769142805782,4,4,2015.7352910208308,5064.595082189712,692.3546480985887,85.72713842308929,102.65883906320992,108.3378552502008,159.74348633101195,126.45042062551214
aquatics,WLOU,886,10,temperature,0.37260952196928204,5,6,1485.098486972425,3624.2501409971155,162.7574613457279,136.01259269922187,71.95531221231373,142.91815809035697,78.57975492774868,508.5224540972684
aquatics,ARIK,738,10,oxygen,0.5566467021064301,5,4,1008.8012489089925,990.5007606148624,454.6709938531396,224.5665213782077,129.6116035940863,200.37244544160168,157.21021882860833,159.96422329959384
aquatics,BARC,781,10,oxygen,0.25058996705125186,5,4,169.95401204631005,369.6669160849848,138.1151904186007,42.23384778175034,30.85370519921907,38.61921296558819,114.24296006379961,84.31560606478632
aquatics,BIGC,828,10,oxygen,0.23318458271252068,6,8,313.6304006749149,1223.6466352035952,109.00493561371967,73.07627556739683,11.45556804733631,25.92391022233224,31.94406117718412,29.65401816652382
aquatics,BLDE,762,10,oxygen,0.1548270906711098,5,2,249.95839955275972,986.1244652781636,36.78557294465153,28.338030199648795,15.638958764257593,166.0592740015459,14.187091537432066,26.389590516979055
aquatics,BLUE,626,10,oxygen,0.27105511310076585,3,4,273.50789589474317,314.03249837524555,57.8616863615758,34.00448282509624,34.322444728865214,37.25691086028486,50.19572352730298,114.17471273230034
aquatics,BLWA,499,10,oxygen,0.3303907676906886,5,2,270.7060889026802,262.04103536864454,138.67539914739976,63.75230477301186,40.19789873675854,115.5951180261305,95.99451649919982,47.64602405109844
aquatics,CARI,533,10,oxygen,0.14345060633603493,3,2,91.98837611955857,62.15846902919939,18.381890062388724,9.983325020193096,8.61712590795413,14.647669387040548,17.438284835796484,22.979912106075936
aquatics,COMO,954,10,oxygen,0.4652038793460383,3,10,202.10663090324775,320.4472833443051,112.80892055254292,81.04087918771921,70.92170651021326,118.39248317421617,72.81146139812274,146.70964123790554
aquatics,CRAM,351,10,oxygen,0.2798827955790382,6,6,23.18885955749351,28.621325949703117,36.05648890504421,24.184626122274487,16.484654279414542,12.594853099727942,25.235419346507943,21.60583421065394
aquatics,CUPE,951,10,oxygen,0.05425654077251743,2,2,10.190671010378217,17.631114963648958,16.207500834360914,4.41918591899967,3.807801900299198,8.290557838996815,7.664845920658383,4.810851238860843
aquatics,FLNT,786,10,oxygen,0.20605571799667538,6,3,129.06192088200615,581.6071756763104,130.0222839423072,33.01739256683281,19.392726875332787,44.801171047753314,70.608251947893,41.96993955171872
aquatics,GUIL,833,10,oxygen,0.18386019275675627,4,8,38.852285665805184,67.79924010464354,45.649697866081915,16.351396004067304,14.360879546147439,19.25221602822748,10.824875830116756,19.960395226430332
aquatics,HOPB,995,10,oxygen,0.2081352015856793,5,5,725.342922288652,2772.2951231318652,208.6378163658325,39.71544090312271,23.033582775163758,35.50350503798781,69.32555593410027,32.984351207979465
